rank,type,address,address_short,entity_name,category,transaction_count,avg_gas_limit,max_gas_limit,additional_cost_eth,impact_score
1,FROM,0x22dcb4798abf95b96c18cb6aade0229ae8dda3e1,0x22dcb479...dda3e1,MCT: MXENFT Token User,Other,2555,19940818.61213307,20025269.0,1.35817439528137e-05,0.034701355799439004
2,FROM,0xc87a8df3d07e06a929dc693245ef02630c848e85,0xc87a8df3...848e85,wywy.eth,MEV Bot,2205,22766998.937414967,30000000.0,9.315296752028573e-06,0.020540229338223002
3,FROM,0x78ec5c6265b45b9c98cf682665a00a3e8f085ffe,0x78ec5c62...085ffe,XEN User #1,Other,1712,25950212.55899533,36000000.0,1.0912745092661214e-05,0.018682619598636
4,FROM,0x2a8b49767e70fb65d477f8881ecf8023add8941c,0x2a8b4976...d8941c,XEN User #2,Other,1559,34411391.61962797,35947097.0,2.1574506549436816e-05,0.033634655710571996
5,FROM,0xcde69d6418004b2e44b101121bf72397adc696ff,0xcde69d64...c696ff,XEN User #3,Other,1543,23456519.52235904,32400000.0,1.0229690667530785e-05,0.0157844127
6,FROM,0x61fbb052daf37a3b50616669a10c4778f08f3c6f,0x61fbb052...8f3c6f,aifi2025.eth,Unknown,1345,19439481.85055762,32400000.0,8.488015732837919e-06,0.011416381160667
7,FROM,0x4abf0b30452399793ff3a90ac016072b12f5ff32,0x4abf0b30...f5ff32,liudaoyyds.eth,Unknown,1287,20403859.42035742,25267151.0,1.1743186970454545e-05,0.015113481630975
8,FROM,0xd6aaaa96ed06389effbf0afb0b028c5b23a5ee77,0xd6aaaa96...a5ee77,XEN User #4,Other,1189,24467657.14634146,25416303.0,7.141004962153069e-06,0.008490654899999998
9,FROM,0x7340d1918ff7e6df680745985086ad350a2b5678,0x7340d191...2b5678,XEN User #5,Unknown,1100,20093929.04909091,20094357.0,8.243346391941818e-06,0.009067681031136
10,FROM,0xb5b3f3f443fe3c1a42b6507ae211df69ac40c8d9,0xb5b3f3f4...40c8d9,XEN User #6,Unknown,1089,19461631.64279155,34508005.0,9.632291184573002e-06,0.010489565099999999
11,FROM,0x9735776a06bcf178b3ca198230e178fe74333333,0x9735776a...333333,XEN User #7,Other,1031,20093896.34917556,20094357.0,8.682534430021338e-06,0.008951692997351999
12,FROM,0x23ab825aaffe678f6473133f7a7a90ab49f5b391,0x23ab825a...f5b391,XEN User #8,Other,979,34104143.86516854,35935818.0,2.3056610088851885e-05,0.022572421276985995
13,FROM,0xa54d7d28bba53f816b2d8cf306aa985ddfc427e7,0xa54d7d28...c427e7,XEN User #9,Other,924,19500000.0,19500000.0,9.663540570909093e-06,0.008929111487520002
14,FROM,0x70b00f8ffbaccbf662aff76dce82058296b46af9,0x70b00f8f...b46af9,XEN User #10,Other,882,20023996.55668934,20025269.0,8.758044659285715e-06,0.00772459538949
15,FROM,0x75c51351584199cdb072826c515cd08830ab4a0f,0x75c51351...ab4a0f,XEN User #11,Other,864,30209491.54976852,33737454.0,1.378996738709722e-05,0.011914531822451998
16,FROM,0x07a4ae312eb8ba5b4f65de06da50cab3df648573,0x07a4ae31...648573,XEN User #12,Other,767,28950915.601043023,34200000.0,9.959132150984356e-06,0.007638654359805002
17,FROM,0x4fb9bbb1838ee0acb7b4d2e519a4c233198499fb,0x4fb9bbb1...8499fb,Fake Phishing,Other,761,26021000.0,26021000.0,2.4836837084412614e-05,0.018900833021238
18,FROM,0x97d618e3a0afeccfb5c50b5df258cd7e48650510,0x97d618e3...650510,Batch Sender #1,Batch Processor,757,20000000.0,20000000.0,1.17458422814465e-05,0.008891602607055
19,FROM,0xee67263be078df8ce3f55d5bcc1d23eb0cdc61bb,0xee67263b...dc61bb,XEN User #13,Other,658,26968965.00455927,32400000.0,1.3313507338723403e-05,0.00876028782888
20,FROM,0xe81cfa76a9579686de04749c6c0d404e3b4a60b8,0xe81cfa76...4a60b8,XEN User #14,Other,652,20141795.44018405,30221102.0,1.2190810204334356e-05,0.007948408253226
21,FROM,0x6582b7c80df319553a988f62436b8a1be6b2b24c,0x6582b7c8...b2b24c,XEN User #15,Other,646,32719694.74767802,34200000.0,1.040552734846904e-05,0.006721970667111
22,FROM,0x6896e929ab60d400a58b43fb536d61390b0c297f,0x6896e929...0c297f,XEN User #16,Other,620,20023589.60645161,20023633.0,1.2115143064296771e-05,0.007511388699863998
23,FROM,0xff0581a78019c65f3257429e053863304f555555,0xff0581a7...555555,XEN User #17,Other,587,20093942.85519591,20095305.0,8.681939758456558e-06,0.005096298638214
24,FROM,0x18ada7d787e0adfbe12ea7b1dfc753d9eef97a01,0x18ada7d7...f97a01,XEN User #19,Other,578,20024705.74394464,20025269.0,7.811246767894462e-06,0.0045149006318429994
25,FROM,0x4f9e5e395bb7fa1a738e3bedc4dd7ceb98fc71f9,0x4f9e5e39...fc71f9,XEN User #20,Other,544,30196654.35845588,30222366.0,7.689798337902574e-06,0.004183250295819001
26,FROM,0xe15e8a83416bb2791ba6c4b7cc51f4bec35198b1,0xe15e8a83...5198b1,XEN User #15,Other,530,20023626.828301888,20023633.0,1.0154665022745285e-05,0.005381972462055001
27,FROM,0x13d836ce6353f9aaf99606968775337d0b7411cf,0x13d836ce...7411cf,XEN User #16,Other,491,30200806.53767821,30222366.0,7.507190744077393e-06,0.0036860306553419997
28,FROM,0x5fbca865c4fe63967e7ad2cb13d8ffee75c53e09,0x5fbca865...c53e09,XEN User #17,Other,477,17576564.968553457,17661497.0,9.748050314465407e-06,0.004649819999999999
29,FROM,0x076f1e43502fa3ee9854eeb34edee2091219e2f6,0x076f1e43...19e2f6,XEN User #18,Other,404,27586076.73267327,29323000.0,1.3659811773965343e-05,0.005518563956681999
30,FROM,0x3f240ed97ecedc4cf7491a4e708f978cd98bfb59,0x3f240ed9...8bfb59,XEN User #19,Other,400,25520000.0,25600000.0,1.56587643437925e-05,0.0062635057375170005
31,FROM,0x4ff2edb4076830b3f6aa538b09bca861f63eab29,0x4ff2edb4...3eab29,XEN User #20,Other,393,33350399.34860051,34681538.0,1.083353888619084e-05,0.004257580782273
32,FROM,0xa17d003e0f6853cd146889066209d489795c5d86,0xa17d003e...5c5d86,UNKNOWN 32,Unknown,386,34260086.05699482,34929945.0,1.7537766749020726e-05,0.006769577965122
33,FROM,0xaa0fe001ed8871aa274d6addaccbd09aea9091af,0xaa0fe001...9091af,UNKNOWN 33,Unknown,385,27637535.064935066,29533000.0,1.0647788911472726e-05,0.004099398730916999
34,FROM,0xd30e217e5747b645386eddb754ef1c7781b4cbe7,0xd30e217e...b4cbe7,UNKNOWN 34,Unknown,381,27761026.24671916,29263000.0,1.4405996275503935e-05,0.005488684580966999
35,FROM,0xb9c3b7a17c62f2deacf4aeafe6b10962c660dc5f,0xb9c3b7a1...60dc5f,UNKNOWN 35,Unknown,381,19741732.28346457,20000000.0,9.428535156456693e-06,0.00359227189461
36,FROM,0xf5da5ccc3c327f62cdea038dafa8ccb152d6866b,0xf5da5ccc...d6866b,UNKNOWN 36,Unknown,376,20020867.436170213,20023633.0,8.600991250603723e-06,0.003233972710227
37,FROM,0x8f1742532dd644441cfb294c66127be2f28cb994,0x8f174253...8cb994,UNKNOWN 37,Unknown,373,27468780.16085791,28843000.0,7.888277054131368e-06,0.002942327341191
38,FROM,0x1ae49d90b01857899095ff1eb12d45b1d6ce8581,0x1ae49d90...ce8581,UNKNOWN 38,Unknown,366,19774316.93989071,20000000.0,9.23269182345082e-06,0.0033791652073830005
39,FROM,0x26140e0d60126f8987d48ac23329fb9a5bd77f98,0x26140e0d...d77f98,UNKNOWN 39,Unknown,365,25561917.80821918,25600000.0,1.945617407067945e-05,0.007101503535797999
40,FROM,0x0565f9bbab0081fa737c560e3fc4e36a92452814,0x0565f9bb...452814,UNKNOWN 40,Unknown,364,20008210.686813187,20536178.0,9.829703612365385e-06,0.003578012114901
41,FROM,0x2403d61d5f6622cf5db15302beb2babfd2b8400c,0x2403d61d...b8400c,UNKNOWN 41,Unknown,359,27550883.008356545,28983000.0,1.3569551061743732e-05,0.004871468831166
42,FROM,0x052d2cbc749801b7ab5d0b59a6d27ea382b2a2ee,0x052d2cbc...b2a2ee,UNKNOWN 42,Unknown,358,27428670.39106145,28883000.0,7.322798823301676e-06,0.002621561978742
43,FROM,0xf5c08d55a77063ac4e5e18f1a470804088be1ad4,0xf5c08d55...be1ad4,UNKNOWN 43,Unknown,354,20000000.0,20000000.0,4.5561855641483054e-05,0.016128896897085
44,FROM,0x0017df12fcc9e50aa5b27b33131d99af69d5dd9f,0x0017df12...d5dd9f,UNKNOWN 44,Unknown,353,26807456.09065156,28263000.0,1.7652339563473087e-05,0.006231275865905999
45,FROM,0xf502431dbfe2579f504a7ab8b00bda62bfde465f,0xf502431d...de465f,UNKNOWN 45,Unknown,343,28458468.594752185,30242365.0,1.9342384817142855e-05,0.0066344379922799995
46,FROM,0x18954f2629930248970989f27448bc6a8102366a,0x18954f26...02366a,UNKNOWN 46,Unknown,340,27553735.29411765,29153000.0,8.818764705882351e-06,0.0029983799999999993
47,FROM,0x5a4e7c2067e8b32f01121eb50a0dc51e54915da7,0x5a4e7c20...915da7,UNKNOWN 47,Unknown,340,27336111.76470588,28463000.0,1.591725180594706e-05,0.005411865614022
48,FROM,0x3b699ab06538ab79865a733f0f5418d1d57c6a2d,0x3b699ab0...7c6a2d,UNKNOWN 48,Unknown,338,27496402.366863903,29113000.0,8.62180473372781e-06,0.0029141699999999998
49,FROM,0x362ac45cfcb7970876ebe9c40358448c16dbcafc,0x362ac45c...dbcafc,UNKNOWN 49,Unknown,328,28356231.707317077,29513000.0,1.866084613696646e-05,0.0061207575329249985
50,FROM,0xe1fbfa8cc8d1735c795097818267708b98037398,0xe1fbfa8c...037398,UNKNOWN 50,Unknown,328,27182384.14634146,28723000.0,7.840106707317073e-06,0.0025715549999999997
1,TO,0x0de8bf93da2f7eecb3d9169422413a9bef4ef628,0x0de8bf93...4ef628,XEN Minter,Other,31406,23605647.8416863,36000000.0,0.0,31406.0
2,TO,0x0a252663dbcc0b073063d6420a40319e438cfa59,0x0a252663...8cfa59,XEN Crypto Token,Other,26048,28897093.4457156,36000000.0,0.0,26048.0
3,TO,0x0000000000771a79d0fc7f3b7fe270eb4498f20b,0x00000000...98f20b,XEN Batch Mint,Unknown,10110,20901135.246488623,34849371.0,0.0,10110.0
4,TO,0x2f848984984d6c3c036174ce627703edaf780479,0x2f848984...780479,XEN Batch Minter #2,Unknown,6688,23536096.092254784,35838106.0,0.0,6688.0
5,TO,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,0x3328f7f4...309c49,Banana Gun Router,Unknown,1994,29996351.79739218,30000000.0,0.0,1994.0
6,TO,0x0a9077aa8a6e3b6016e9936ae3541a6bf5740eba,0x0a9077aa...740eba,XEN Custom Contract,Other,1345,19439481.85055762,32400000.0,0.0,1345.0
7,TO,0xc3c7b049678d84081dfd0ba21a6c7fdcc31c226f,0xc3c7b049...1c226f,XEN Minter,Other,1302,25700480.01459293,33737454.0,0.0,1302.0
8,TO,0x4041001020fcd967eac89b060388abc703119c73,0x40410010...119c73,Batch Contract Creator,Batch Processor,1130,21437030.361061946,26107063.0,0.0,1130.0
9,TO,0xbd8916626c5b1b9f28da68aa0bc4a3d29a0d33d5,0xbd891662...0d33d5,XEN Minter Contract,Other,924,19500000.0,19500000.0,0.0,924.0
10,TO,0x4f4495243837681061c4743b74b3eedf548d56a5,0x4f449524...8d56a5,Axelar Batch,Batch Processor,906,20000000.0,20000000.0,0.0,906.0
11,TO,0xd1f3b954608551e0365c248a5a539ef08f9587a3,0xd1f3b954...9587a3,Batch Contract Creator,Batch Processor,818,23763265.188264057,26101924.0,0.0,818.0
12,TO,0x8d5f7156eb384902b71ae991c563bb9ee47e0d68,0x8d5f7156...7e0d68,Fake Phishing,Other,761,26021000.0,26021000.0,0.0,761.0
13,TO,0xf70091dd85e62021c888b4c861c45749b793f869,0xf70091dd...93f869,Convex Finance Batch Distributor,DEX,757,20000000.0,20000000.0,0.0,757.0
14,TO,0x00000000000000000000000000000000000face7,0x00000000...0face7,Address used for data posting,Data Storage,605,22915919.62314049,34266827.0,0.0,605.0
15,TO,0xddc796a66e8b83d0bccd97df33a6ccfba8fd60ea,0xddc796a6...fd60ea,Wasteful Sender (gas used = 2% of gas limit),Unknown,553,20000000.0,20000000.0,0.0,553.0
16,TO,0x2d5805a423d6ce771f06972ad4499f120902631a,0x2d5805a4...02631a,Searcher Contract,MEV Bot,481,24433184.546777543,35933443.0,0.0,481.0
17,TO,0xfef2359e77df8b769760d62cbb5ee676fe78f6c2,0xfef2359e...78f6c2,XEN Miner,Other,416,23989473.97355769,33050400.0,0.0,416.0
18,TO,0x3fc29836e84e471a053d2d9e80494a867d670ead,0x3fc29836...670ead,Batch Token Distribute,Batch Processor,385,27714927.189610388,34200000.0,0.0,385.0
19,TO,0xe957ea0b072910f508dd2009f4acb7238c308e29,0xe957ea0b...308e29,Ethcoin Distributor,Batch Processor,337,19353185.204747774,29396120.0,0.0,337.0
20,TO,0xd152f549545093347a162dce210e7293f1452150,0xd152f549...452150,Disperse.app,Batch Processor,328,26067321.466463413,35451675.0,0.0,328.0
21,TO,0x931a644c8049babdd91fac0f5e394179569c13f5,0x931a644c...9c13f5,UNKNOWN 21,Unknown,315,20000000.0,20000000.0,0.0,315.0
22,TO,0x684feb71dd32e6a36c39d47fcef6a559877ad7d3,0x684feb71...7ad7d3,UNKNOWN 22,Unknown,246,20000000.0,20000000.0,0.0,246.0
23,TO,0x67a34a84c235c15840745955db839520fea09939,0x67a34a84...a09939,UNKNOWN 23,Unknown,207,27715590.328502417,33582198.0,0.0,207.0
24,TO,0x21d3227b97cc2bda8f3ee2217df710f551547aa6,0x21d3227b...547aa6,UNKNOWN 24,Unknown,186,25457830.612903222,26103004.0,0.0,186.0
25,TO,0x00000688768803bbd44095770895ad27ad6b0d95,0x00000688...6b0d95,UNKNOWN 25,Unknown,184,22128316.52173913,30867649.0,0.0,184.0
26,TO,0x0ef8fa4760db8f5cd4d993f3e3416f30f942d705,0x0ef8fa47...42d705,UNKNOWN 26,Unknown,151,21444659.059602648,29510743.0,0.0,151.0
27,TO,0x845074654f5412915f5c0d76c017c39c800d96a5,0x84507465...0d96a5,UNKNOWN 27,Unknown,144,19982318.52083333,20061235.0,0.0,144.0
28,TO,0xa7482716c6cdd7f65b1b595d2cdeb4e4a2a08fcb,0xa7482716...a08fcb,UNKNOWN 28,Unknown,135,17246892.451851852,17263971.0,0.0,135.0
29,TO,0x45ca8f6d7b6cdd13effb1cd06829d1d9273a8913,0x45ca8f6d...3a8913,UNKNOWN 29,Unknown,124,20000000.0,20000000.0,0.0,124.0
30,TO,0x0b8a49d816cc709b6eadb09498030ae3416b66dc,0x0b8a49d8...6b66dc,UNKNOWN 30,Unknown,120,23437169.925,35527138.0,0.0,120.0
31,TO,0x62b92d5ad29bc7adffa2904faac28dd0ce3fc65a,0x62b92d5a...3fc65a,UNKNOWN 31,Unknown,118,25252428.033898305,26060745.0,0.0,118.0
32,TO,0xa9048585166f4f7c4589ade19567bb538035ed36,0xa9048585...35ed36,UNKNOWN 32,Unknown,117,25326404.803418804,35845636.0,0.0,117.0
33,TO,0x6c84edd2a018b1fe2fc93a56066b5c60da4e6d64,0x6c84edd2...4e6d64,UNKNOWN 33,Unknown,117,20000000.0,20000000.0,0.0,117.0
34,TO,0xc41e476dea14aa3a6feb4a10b6382d655ce60ec2,0xc41e476d...e60ec2,UNKNOWN 34,Unknown,117,17245494.8034188,17262560.0,0.0,117.0
35,TO,0xadb863c42da771455329ea9c164d07fb6d9e3a42,0xadb863c4...9e3a42,UNKNOWN 35,Unknown,114,30000000.0,30000000.0,0.0,114.0
36,TO,0xc32e2a2f03d41768095e67b62c9c739f2c2bc4aa,0xc32e2a2f...2bc4aa,UNKNOWN 36,Unknown,113,22855444.902654868,34378005.0,0.0,113.0
37,TO,0x77a6149395ca96b13df5bbd634965bcfbeedb1c9,0x77a61493...edb1c9,UNKNOWN 37,Unknown,113,25000000.0,25000000.0,0.0,113.0
38,TO,0x0644bd0248d5f89e4f6e845a91d15c23591e5d33,0x0644bd02...1e5d33,UNKNOWN 38,Unknown,100,30000000.0,30000000.0,0.0,100.0
39,TO,0x00000f91109c4d0007e90000d9facad5298a0cac,0x00000f91...8a0cac,UNKNOWN 39,Unknown,96,31769606.885416668,35117553.0,0.0,96.0
40,TO,0x76366921f251b3cef0d326c9d0d587b6a4cbb7fb,0x76366921...cbb7fb,UNKNOWN 40,Unknown,94,20957446.80851064,35000000.0,0.0,94.0
41,TO,0x03e2ea0fbc39240f1867f5d7475fd6b6561950aa,0x03e2ea0f...1950aa,UNKNOWN 41,Unknown,88,31121510.045454547,31271268.0,0.0,88.0
42,TO,0x977c26ce24036fa66ee2bfaead9556bc2b8a9aea,0x977c26ce...8a9aea,UNKNOWN 42,Unknown,87,29499821.88505747,29779673.0,0.0,87.0
43,TO,0xd11d000979b09eb3380e92dab523597afe32ed03,0xd11d0009...32ed03,UNKNOWN 43,Unknown,86,27492748.06976744,35894571.0,0.0,86.0
44,TO,0x00c452affee3a17d9cecc1bcd2b8d5c7635c4cb9,0x00c452af...5c4cb9,UNKNOWN 44,Unknown,86,22196706.139534883,32273628.0,0.0,86.0
45,TO,0x9d1833becb105405a8305f775f0af3157d12b33c,0x9d1833be...12b33c,UNKNOWN 45,Unknown,85,18475872.505882356,21357559.0,0.0,85.0
46,TO,0x4abf0b30452399793ff3a90ac016072b12f5ff32,0x4abf0b30...f5ff32,liudaoyyds.eth,Unknown,83,20321597.578313254,23029000.0,0.0,83.0
47,TO,0xbbbb2d4d765c1e455e4896a64ba3883e914abbbb,0xbbbb2d4d...4abbbb,UNKNOWN 47,Unknown,82,25244305.93902439,34921680.0,0.0,82.0
48,TO,0xe6b1de575e7e610889ea21024834e120f92033a3,0xe6b1de57...2033a3,UNKNOWN 48,Unknown,82,18699390.24390244,26640000.0,0.0,82.0
49,TO,0x26ec4a18080303afe65628c205877c808e16caed,0x26ec4a18...16caed,UNKNOWN 49,Unknown,80,21486470.8375,22000965.0,0.0,80.0
50,TO,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4...11fe88,UNKNOWN 50,Unknown,80,24734995.425,31377948.0,0.0,80.0
